Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
250635,Comcast Cable Internet Speeds,22-04-15,22-Apr-15,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No
223441,Payment disappear - service got disconnected,04-08-15,04-Aug-15,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No
242732,Speed and Service,18-04-15,18-Apr-15,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes
277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,05-07-15,05-Jul-15,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes
307175,Comcast not working and no service to boot,26-05-15,26-May-15,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No
338519,ISP Charging for arbitrary data limits with overage fees,06-12-15,06-Dec-15,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No
361148,Throttling service and unreasonable data caps,24-06-15,24-Jun-15,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No
359792,Comcast refuses to help troubleshoot and correct my service.,23-06-15,23-Jun-15,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No
318072,Comcast extended outages,06-01-15,06-Jan-15,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No
371214,Comcast Raising Prices and Not Being Available To Ask Why,28-06-15,28-Jun-15,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes
255938,Billing after service was asked to be disconnected,24-04-15,24-Apr-15,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,05-06-15,05-Jun-15,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No
339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13-06-15,13-Jun-15,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes
360178,Internet speed,23-06-15,23-Jun-15,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No
376268,Internet Disconnects Every Night,30-06-15,30-Jun-15,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No
370137,Internet complaint,27-06-15,27-Jun-15,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No
363695,Internet Availability and Speed,24-06-15,24-Jun-15,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No
238694,Comcast owes me $65 and claims I need to return equipment I never had,16-04-15,16-Apr-15,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No
230876,Horrible Internet Service,04-11-15,04-Nov-15,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No
318725,Failure to provide services that I am billed for.,06-02-15,06-Feb-15,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No
327657,Internet out all the time but they have a monopoly,06-07-15,06-Jul-15,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No
328742,horrible cable service and customer service,06-08-15,06-Aug-15,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No
328165,Speed,06-08-15,06-Aug-15,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No
370538,Comcast monopoly bundling practices,27-06-15,27-Jun-15,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No
370363,COMCAST!,27-06-15,27-Jun-15,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No
270163,bait and switch,05-02-15,05-Feb-15,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes
355976,Comcast Customer Service,22-06-15,22-Jun-15,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No
260651,Apartment Management's Exclusivity Contract with Comcast,28-04-15,28-Apr-15,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No
305340,Unable to reach a Comcast agent for internet and billing issues.,24-05-15,24-May-15,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,Solved,No
360759,Wifi internet not working as well,24-06-15,24-Jun-15,2:23:23 AM,Internet,Aloha,Oregon,97006,Pending,No
265487,Comcast data caps,29-04-15,29-Apr-15,9:40:19 PM,Internet,Alpharetta,Georgia,30022,Closed,No
296608,Comcast Internet Data Cap,19-05-15,19-May-15,10:56:20 AM,Internet,Alpharetta,Georgia,30022,Solved,No
310990,XFINITY Movers Edge program,28-05-15,28-May-15,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,Solved,No
325342,Comcast Data Internet Usage,06-05-15,06-May-15,1:25:58 PM,Internet,Alpharetta,Georgia,30022,Solved,No
337489,Comcast not refunding my credit,06-12-15,06-Dec-15,3:59:57 PM,Internet,Alpharetta,Georgia,30005,Solved,No
354116,Comcast,20-06-15,20-Jun-15,5:03:09 PM,Internet,Alpharetta,Georgia,30022,Solved,No
371829,No Service,29-06-15,29-Jun-15,11:23:38 AM,Internet,Alpharetta,Georgia,30005,Closed,No
373874,Comcast,30-06-15,30-Jun-15,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,Solved,No
300824,"INTERNET , BILLING AND SERVIE ISSUES",21-05-15,21-May-15,9:34:19 AM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
348923,Comcast blocking DirecTv signals,18-06-15,18-Jun-15,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No
302574,pmts,21-05-15,21-May-15,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,Open,No
343346,Slow Internet Speed,16-06-15,16-Jun-15,1:45:58 PM,Internet,Amherst,New Hampshire,3031,Open,No
286768,not getting what I am paying for with internet,05-12-15,05-Dec-15,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,Solved,No
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,04-08-15,04-Aug-15,1:04:24 AM,Internet,Angels Camp,California,95222,Closed,No
235980,isp dishonest about speeds,14-04-15,14-Apr-15,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,Closed,No
236469,Deceptive sales- change in billing amount etc.,15-04-15,15-Apr-15,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,Closed,No
288602,Comcast Billing Dispute,13-05-15,13-May-15,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,Closed,No
309379,Comcast,27-05-15,27-May-15,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,Solved,No
351079,Comcast Billing and Service Issues,19-06-15,19-Jun-15,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,Solved,No
366705,Cable prices rising,25-06-15,25-Jun-15,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,Solved,No
368705,service issues,26-06-15,26-Jun-15,3:56:18 PM,Internet,Annapolis,Maryland,21401,Solved,No
347369,HBO GO on Playstation 4,17-06-15,17-Jun-15,8:41:23 PM,Internet,Annville,Pennsylvania,17003,Solved,No
291784,internet connectivity,15-05-15,15-May-15,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,Solved,No
308478,Email issues,26-05-15,26-May-15,9:45:02 PM,Customer Care Call,Antioch,California,94509,Solved,No
309851,Monopoly,27-05-15,27-May-15,4:24:46 PM,Internet,Antioch,Tennessee,37013,Solved,No
